Label,Count
Wind,362
Vegetation,201
Turdus philomelos_Song Thrush,3438
Turdus merula_Eurasian Blackbird,155
Troglodytes troglodytes_Eurasian Wren,1165
Sylvia atricapilla_Eurasian Blackcap,3027
Regulus regulus_Goldcrest,587
Regulus ignicapilla_Common Firecrest,2855
Rain,353
Phylloscopus collybita_Common Chiffchaff,1612
Periparus ater_Coal Tit,380
Pecking,138
None,300
Muscicapa striata_Spotted Flycatcher,256
Loxia curvirostra_Common Crossbill,120
Lophophanes cristatus_Crested Tit,129
Fringilla coelebs_Common Chaffinch,5440
Erithacus rubecula_European Robin,1387
Dryocopus martius_Black Woodpecker,44
Dendrocopos major_Great Spotted Woodpecker,22
Certhia familiaris_Eurasian Treecreeper,179
Aeroplane,33
